% The first three columns are year, month and day. The remaining 12 columns are average windspeeds in knots at 12 locations in Ireland on that day.
% Start by using the 'loadtxt' function from numpy to read the data into an array.
0,1,1,3.71,0.79,4.71,0.17,1.42,1.04,4.63,0.75,1.54,1.08,4.21,9.54
0,1,2,4.04,0.75,6.96,nan,nan,0.54,nan,0.00,3.00,2.58,3.00,10.46
71,1,3,7.41,5.41,7.17,nan,1.79,0.21,2.50,0.33,0.71,0.13,4.83,7.12
0,1,4,17.50,18.79,14.88,3.46,13.13,7.25,7.12,8.17,6.67,5.21,11.92,10.29
71,1,5,15.21,13.50,21.92,8.08,nan,12.79,17.96,12.33,13.88,10.21,16.58,22.75
71,1,6,18.96,21.29,17.21,9.67,16.46,14.00,11.63,14.75,13.62,17.08,23.71,23.29
71,1,7,22.83,20.96,20.38,12.71,16.04,14.21,19.21,19.21,14.46,19.83,25.75,25.50
71,1,8,24.92,22.88,19.46,nan,17.00,14.33,14.62,15.87,nan,17.50,30.04,26.46
71,1,9,28.21,nan,23.58,15.00,22.00,19.67,20.30,20.88,19.79,21.04,38.20,32.91
71,1,10,17.04,22.83,14.54,7.50,22.00,16.17,17.96,14.88,15.00,12.54,26.20,19.08
0,1,11,16.62,nan,16.75,7.08,16.66,13.33,11.04,12.50,11.17,10.37,17.08,21.37
71,1,12,6.63,6.34,4.38,nan,5.17,2.13,3.88,4.33,4.08,4.92,12.17,10.75
71,1,13,14.88,14.46,11.29,4.38,10.41,7.87,6.87,8.04,7.92,5.37,11.04,9.13
71,1,14,11.04,10.88,9.50,2.92,8.75,3.96,4.17,6.25,5.66,3.58,7.71,10.79
71,1,15,7.75,7.83,5.17,0.17,6.71,2.46,2.00,3.63,1.96,1.67,6.21,8.04
0,1,16,11.12,11.25,8.04,4.08,9.46,6.92,4.33,6.50,7.12,7.21,11.34,14.25
71,1,17,18.25,11.29,17.16,11.34,12.21,10.54,12.42,8.42,10.83,13.33,13.88,17.25
71,1,18,24.87,20.17,17.88,13.54,18.54,14.29,14.46,14.83,15.75,14.42,17.21,19.55
71,1,19,13.88,11.96,11.50,6.38,13.04,8.33,15.96,7.92,10.54,10.92,15.96,23.00
0,1,20,18.08,16.38,13.92,6.54,14.00,10.29,12.62,11.79,10.25,8.83,15.54,19.55
71,1,21,19.75,14.88,15.04,5.13,9.00,4.08,5.58,3.88,5.66,3.75,7.58,13.54
71,1,22,16.88,12.83,12.46,7.04,11.92,7.96,10.00,8.87,10.50,8.54,15.09,14.50
71,1,23,12.92,14.09,10.71,5.96,14.62,9.42,13.00,12.75,11.25,13.83,22.13,22.04
71,1,24,22.29,18.54,18.66,11.12,18.29,13.42,21.17,14.54,16.29,17.67,20.08,25.04
71,1,25,18.84,17.25,13.46,7.17,14.29,9.17,11.71,8.21,10.29,10.67,11.87,15.54
71,1,26,10.50,7.67,9.25,3.50,5.91,2.92,6.13,0.67,5.63,3.13,2.75,9.29
71,1,27,13.62,12.83,7.79,4.25,9.08,2.54,5.83,0.42,4.58,1.63,4.33,7.17
71,1,28,12.29,10.67,6.79,3.42,8.04,0.50,8.38,1.67,3.29,2.88,9.13,5.83
0,1,29,7.04,6.92,6.92,3.25,4.25,1.42,7.08,2.96,6.13,4.33,9.08,13.21
71,1,30,11.67,2.83,12.71,4.21,4.17,1.29,7.04,2.75,4.42,2.79,13.17,13.92
71,1,31,19.29,14.29,25.29,10.96,10.58,7.50,13.79,10.75,nan,11.63,18.38,26.00
